,Home_Team,Away_Team,Arena,City,State,Country,Date,Day,Time,Price
0,Atlanta Braves,Philadelphia Phillies,Truist Park,Atlanta,GA,USA,2022-10-12,Wed,4:35 PM,$25
1,Houston Astros,Seattle Mariners,Minute Maid Park,Houston,TX,USA,2022-10-13,Thu,2:37 PM,$44
2,New York Yankees,Cleveland Guardians,Yankee Stadium,Bronx,NY,USA,2022-10-13,Thu,7:37 PM,$100
3,Philadelphia Phillies,Atlanta Braves,Citizens Bank Park,Philadelphia,PA,USA,2022-10-14,Fri,4:37 PM,$262
4,Seattle Mariners,Houston Astros,T-Mobile Park,Seattle,WA,USA,2022-10-15,Sat,1:07 PM,$306
5,Philadelphia Phillies,Atlanta Braves,Citizens Bank Park,Philadelphia,PA,USA,2022-10-15,Sat,2:07 PM,$200
6,Cleveland Guardians,New York Yankees,Progressive Field,Cleveland,OH,USA,2022-10-15,Sat,7:37 PM,$215
7,Seattle Mariners,Houston Astros,T-Mobile Park,Seattle,WA,USA,2022-10-16,Sun,12:07 PM,$239
8,Atlanta Braves,Philadelphia Phillies,Truist Park,Atlanta,GA,USA,2022-10-16,Sun,4:37 PM,$58
9,Cleveland Guardians,New York Yankees,Progressive Field,Cleveland,OH,USA,2022-10-16,Sun,7:37 PM,$108
10,Houston Astros,Seattle Mariners,Minute Maid Park,Houston,TX,USA,2022-10-17,Mon,4:07 PM,$61
11,New York Yankees,Cleveland Guardians,Yankee Stadium,Bronx,NY,USA,2022-10-17,Mon,7:37 PM,$110
12,Kansas City Royals,Oakland Athletics,Kauffman Stadium,Kansas City,MO,USA,2023-05-07,Sun,7:00 PM,$120
