,Home_Team,Away_Team,Arena,City,State,Country,Date,Day,Time,Price
0,Philadelphia 76ers Preseason,Charlotte Hornets Preseason,Wells Fargo Center Philadelphia,Philadelphia,PA,USA,2022-10-12,Wed,7:00 PM,$6
1,Indiana Pacers Preseason,New York Knicks Preseason,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-12,Wed,7:00 PM,$5
2,Milwaukee Bucks Preseason,Brooklyn Nets Preseason,Fiserv Forum,Milwaukee,WI,USA,2022-10-12,Wed,7:00 PM,$4
3,Phoenix Suns Preseason,Sacramento Kings Preseason,Footprint Center (Former Phoenix Suns Arena),Phoenix,AZ,USA,2022-10-12,Wed,7:00 PM,$6
4,Los Angeles Lakers Preseason,Minnesota Timberwolves Preseason,Crypto.com Arena,Los Angeles,CA,USA,2022-10-12,Wed,7:00 PM,$35
5,Miami He Preseason,New Orleans Pelicans,FTX Arena (Former American Airlines Arena),Miami,FL,USA,2022-10-12,Wed,7:30 PM,$4
6,Los Angeles Clippers Preseason,Denver Nuggets Preseason,Toyota Arena,Ontario,CA,USA,2022-10-12,Wed,7:30 PM, 
7,Detroit Pistons Preseason,Memphis Grizzlies Preseason,Little Caesars Arena,Detroit,MI,USA,2022-10-13,Thu,7:00 PM,$10
8,San Antonio Spurs Preseason,Oklahoma City Thunder Preseason,AT&T Center,San Antonio,TX,USA,2022-10-13,Thu,7:00 PM,$3
9,Indiana Pacers Preseason,Houston Rockets Preseason,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-14,Fri,7:00 PM,$11
10,Orlando Magic Preseason,Cleveland Cavaliers Preseason,Amway Center,Orlando,FL,USA,2022-10-14,Fri,7:00 PM,$8
11,New Orleans Pelicans Preseason,Atlanta Hawks Preseason,Legacy Arena at The BJCC,North Birmingham,AL,USA,2022-10-14,Fri,7:00 PM,$32
12,Minnesota Timberwolves Preseason,Brooklyn Nets Preseason,Target Center,Minneapolis,MN,USA,2022-10-14,Fri,7:00 PM,$12
13,Utah Jazz Preseason,Dallas Mavericks Preseason,Vivint Smart Home Arena,Salt Lake City,UT,USA,2022-10-14,Fri,7:00 PM,$3
14,Sacramento Kings Preseason,Los Angeles Lakers Preseason,Golden 1 Center,Sacramento,CA,USA,2022-10-14,Fri,7:00 PM,$16
15,Golden State Warriors Preseason,Denver Nuggets Preseason,Chase Center,San Francisco,CA,USA,2022-10-14,Fri,7:00 PM,$35
16,Toronto Raptors Preseason,NBA Canada Series: Boston Celtics Preseason,Bell Centre,Montréal,,Canada,2022-10-14,Fri,7:30 PM,$122
17,New York Knicks Preseason,Washington Wizards Preseason,Madison Square Garden,New York,NY,USA,2022-10-14,Fri,7:30 PM,$45
18,Golden State Warriors,Los Angeles Lakers,Chase Center,San Francisco,CA,USA,2022-10-18,Tue,7:00 PM,$250
19,Boston Celtics,Philadelphia 76ers,TD Garden,Boston,MA,USA,2022-10-18,Tue,7:30 PM,$75
20,Memphis Grizzlies,New York Knicks,FedExForum,Memphis,TN,USA,2022-10-19,Wed,6:30 PM,$6
21,Indiana Pacers,Washington Wizards,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-19,Wed,7:00 PM,$12
22,Detroit Pistons,Orlando Magic,Little Caesars Arena,Detroit,MI,USA,2022-10-19,Wed,7:00 PM,$24
23,Minnesota Timberwolves,Oklahoma City Thunder,Target Center,Minneapolis,MN,USA,2022-10-19,Wed,7:00 PM,$31
24,San Antonio Spurs,Charlotte Hornets,AT&T Center,San Antonio,TX,USA,2022-10-19,Wed,7:00 PM,$16
25,Utah Jazz,Denver Nuggets,Vivint Smart Home Arena,Salt Lake City,UT,USA,2022-10-19,Wed,7:00 PM,$9
26,Sacramento Kings,Portland Trail Blazers,Golden 1 Center,Sacramento,CA,USA,2022-10-19,Wed,7:00 PM,$30
27,Phoenix Suns,Dallas Mavericks,Footprint Center (Former Phoenix Suns Arena),Phoenix,AZ,USA,2022-10-19,Wed,7:00 PM,$45
28,Brooklyn Nets,New Orleans Pelicans,Barclays Center,Brooklyn,NY,USA,2022-10-19,Wed,7:30 PM,$48
29,Atlanta Hawks,Houston Rockets,State Farm Arena,Atlanta,GA,USA,2022-10-19,Wed,7:30 PM,$25
30,Toronto Raptors,Cleveland Cavaliers,Scotiabank Arena,Toronto,,Canada,2022-10-19,Wed,7:30 PM,$53
31,Miami Heat,Chicago Bulls,FTX Arena (Former American Airlines Arena),Miami,FL,USA,2022-10-19,Wed,7:30 PM,$49
32,Los Angeles Lakers,Los Angeles Clippers,Crypto.com Arena,Los Angeles,CA,USA,2022-10-20,Thu,7:00 PM,$40
33,Philadelphia 76ers,Milwaukee Bucks,Wells Fargo Center Philadelphia,Philadelphia,PA,USA,2022-10-20,Thu,7:30 PM,$69
34,Charlotte Hornets,New Orleans Pelicans,Spectrum Center,Charlotte,NC,USA,2022-10-21,Fri,7:00 PM,$22
35,Indiana Pacers,San Antonio Spurs,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-21,Fri,7:00 PM,$12
36,Washington Wizards,Chicago Bulls,Capital One Arena,Washington,DC,USA,2022-10-21,Fri,7:00 PM,$24
37,Houston Rockets,Memphis Grizzlies,Toyota Center,Houston,TX,USA,2022-10-21,Fri,7:00 PM,$18
38,Minnesota Timberwolves,Utah Jazz,Target Center,Minneapolis,MN,USA,2022-10-21,Fri,7:00 PM,$25
39,Portland Trail Blazers,Phoenix Suns,Moda Center at the Rose Quarter,Portland,OR,USA,2022-10-21,Fri,7:00 PM,$30
40,Golden State Warriors,Denver Nuggets,Chase Center,San Francisco,CA,USA,2022-10-21,Fri,7:00 PM,$97
41,New York Knicks,Detroit Pistons,Madison Square Garden,New York,NY,USA,2022-10-21,Fri,7:30 PM,$90
42,Miami Heat,Boston Celtics,FTX Arena (Former American Airlines Arena),Miami,FL,USA,2022-10-21,Fri,7:30 PM,$60
43,Atlanta Hawks,Orlando Magic,State Farm Arena,Atlanta,GA,USA,2022-10-21,Fri,7:30 PM,$24
44,Brooklyn Nets,Toronto Raptors,Barclays Center,Brooklyn,NY,USA,2022-10-21,Fri,7:30 PM,$39
45,Philadelphia 76ers,San Antonio Spurs,Wells Fargo Center Philadelphia,Philadelphia,PA,USA,2022-10-22,Sat,6:00 PM,$35
46,Indiana Pacers,Detroit Pistons,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-22,Sat,7:00 PM,$16
47,Orlando Magic,Boston Celtics,Amway Center,Orlando,FL,USA,2022-10-22,Sat,7:00 PM,$50
48,Milwaukee Bucks,Houston Rockets,Fiserv Forum,Milwaukee,WI,USA,2022-10-22,Sat,7:00 PM,$25
49,Chicago Bulls,Cleveland Cavaliers,United Center,Chicago,IL,USA,2022-10-22,Sat,7:00 PM,$38
50,Denver Nuggets,Oklahoma City Thunder,Ball Arena,Denver,CO,USA,2022-10-22,Sat,7:00 PM,$17
51,Sacramento Kings,Los Angeles Clippers,Golden 1 Center,Sacramento,CA,USA,2022-10-22,Sat,7:00 PM,$24
52,Dallas Mavericks,Memphis Grizzlies,American Airlines Center,Dallas,TX,USA,2022-10-22,Sat,7:30 PM,$57
