,Home_Team,Away_Team,Arena,City,State,Country,Date,Day,Time,Price
0,Orlando Magic Preseason,Memphis Grizzlies Preseason,Amway Center,Orlando,FL,USA,2022-10-11,Tue,7:00 PM,$12
1,Detroit Pistons Preseason,Oklahoma City Thunder Preseason,Little Caesars Arena,Detroit,MI,USA,2022-10-11,Tue,7:00 PM, 
2,Chicago Bulls Preseason,Milwaukee Bucks Preseason,United Center,Chicago,IL,USA,2022-10-11,Tue,7:00 PM,$22
3,Utah Jazz Preseason,San Antonio Spurs Preseason,Vivint Smart Home Arena,Salt Lake City,UT,USA,2022-10-11,Tue,7:00 PM,$2
4,Golden State Warriors Preseason,Portland Trail Blazers Preseason,Chase Center,San Francisco,CA,USA,2022-10-11,Tue,7:00 PM,$32
5,Philadelphia 76ers Preseason,Charlotte Hornets Preseason,Wells Fargo Center Philadelphia,Philadelphia,PA,USA,2022-10-12,Wed,7:00 PM,$5
6,Indiana Pacers Preseason,New York Knicks Preseason,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-12,Wed,7:00 PM,$6
7,Milwaukee Bucks Preseason,Brooklyn Nets Preseason,Fiserv Forum,Milwaukee,WI,USA,2022-10-12,Wed,7:00 PM,$4
8,Phoenix Suns Preseason,Sacramento Kings Preseason,Footprint Center (Former Phoenix Suns Arena),Phoenix,AZ,USA,2022-10-12,Wed,7:00 PM,$4
9,Los Angeles Lakers Preseason,Minnesota Timberwolves Preseason,Crypto.com Arena,Los Angeles,CA,USA,2022-10-12,Wed,7:00 PM,$20
10,Miami He Preseason,New Orleans Pelicans,FTX Arena (Former American Airlines Arena),Miami,FL,USA,2022-10-12,Wed,7:30 PM,$5
11,Los Angeles Clippers Preseason,Denver Nuggets Preseason,Toyota Arena,Ontario,CA,USA,2022-10-12,Wed,7:30 PM,$12
12,Detroit Pistons Preseason,Memphis Grizzlies Preseason,Little Caesars Arena,Detroit,MI,USA,2022-10-13,Thu,7:00 PM,$13
13,San Antonio Spurs Preseason,Oklahoma City Thunder Preseason,AT&T Center,San Antonio,TX,USA,2022-10-13,Thu,7:00 PM,$2
14,Indiana Pacers Preseason,Houston Rockets Preseason,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-14,Fri,7:00 PM,$12
15,Orlando Magic Preseason,Cleveland Cavaliers Preseason,Amway Center,Orlando,FL,USA,2022-10-14,Fri,7:00 PM,$8
16,New Orleans Pelicans Preseason,Atlanta Hawks Preseason,Legacy Arena at The BJCC,North Birmingham,AL,USA,2022-10-14,Fri,7:00 PM,$30
17,Minnesota Timberwolves Preseason,Brooklyn Nets Preseason,Target Center,Minneapolis,MN,USA,2022-10-14,Fri,7:00 PM,$11
18,Utah Jazz Preseason,Dallas Mavericks Preseason,Vivint Smart Home Arena,Salt Lake City,UT,USA,2022-10-14,Fri,7:00 PM,$3
19,Sacramento Kings Preseason,Los Angeles Lakers Preseason,Golden 1 Center,Sacramento,CA,USA,2022-10-14,Fri,7:00 PM,$15
20,Sacramento Kings Preseason,Los Angeles Lakers Preseason,Golden 1 Center,Sacramento,CA,USA,2022-10-14,Fri,7:00 PM,$15
21,Golden State Warriors Preseason,Denver Nuggets Preseason,Chase Center,San Francisco,CA,USA,2022-10-14,Fri,7:00 PM,$39
22,Toronto Raptors Preseason,NBA Canada Series: Boston Celtics Preseason,Bell Centre,Montréal,,Canada,2022-10-14,Fri,7:30 PM,$119
23,New York Knicks Preseason,Washington Wizards Preseason,Madison Square Garden,New York,NY,USA,2022-10-14,Fri,7:30 PM,$57
24,Golden State Warriors,Los Angeles Lakers,Chase Center,San Francisco,CA,USA,2022-10-18,Tue,7:00 PM,$270
25,Boston Celtics,Philadelphia 76ers,TD Garden,Boston,MA,USA,2022-10-18,Tue,7:30 PM,$80
26,Memphis Grizzlies,New York Knicks,FedExForum,Memphis,TN,USA,2022-10-19,Wed,6:30 PM,$11
27,Indiana Pacers,Washington Wizards,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-19,Wed,7:00 PM,$12
28,Detroit Pistons,Orlando Magic,Little Caesars Arena,Detroit,MI,USA,2022-10-19,Wed,7:00 PM,$20
29,Minnesota Timberwolves,Oklahoma City Thunder,Target Center,Minneapolis,MN,USA,2022-10-19,Wed,7:00 PM,$32
30,San Antonio Spurs,Charlotte Hornets,AT&T Center,San Antonio,TX,USA,2022-10-19,Wed,7:00 PM,$21
31,Utah Jazz,Denver Nuggets,Vivint Smart Home Arena,Salt Lake City,UT,USA,2022-10-19,Wed,7:00 PM,$10
32,Sacramento Kings,Portland Trail Blazers,Golden 1 Center,Sacramento,CA,USA,2022-10-19,Wed,7:00 PM,$30
33,Phoenix Suns,Dallas Mavericks,Footprint Center (Former Phoenix Suns Arena),Phoenix,AZ,USA,2022-10-19,Wed,7:00 PM,$45
34,Brooklyn Nets,New Orleans Pelicans,Barclays Center,Brooklyn,NY,USA,2022-10-19,Wed,7:30 PM,$50
35,Atlanta Hawks,Houston Rockets,State Farm Arena,Atlanta,GA,USA,2022-10-19,Wed,7:30 PM,$25
36,Toronto Raptors,Cleveland Cavaliers,Scotiabank Arena,Toronto,,Canada,2022-10-19,Wed,7:30 PM,$60
37,Miami Heat,Chicago Bulls,FTX Arena (Former American Airlines Arena),Miami,FL,USA,2022-10-19,Wed,7:30 PM,$40
38,Los Angeles Lakers,Los Angeles Clippers,Crypto.com Arena,Los Angeles,CA,USA,2022-10-20,Thu,7:00 PM,$40
39,Philadelphia 76ers,Milwaukee Bucks,Wells Fargo Center Philadelphia,Philadelphia,PA,USA,2022-10-20,Thu,7:30 PM,$70
40,Charlotte Hornets,New Orleans Pelicans,Spectrum Center,Charlotte,NC,USA,2022-10-21,Fri,7:00 PM,$22
41,Indiana Pacers,San Antonio Spurs,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-21,Fri,7:00 PM,$12
42,Washington Wizards,Chicago Bulls,Capital One Arena,Washington,DC,USA,2022-10-21,Fri,7:00 PM,$25
43,Houston Rockets,Memphis Grizzlies,Toyota Center,Houston,TX,USA,2022-10-21,Fri,7:00 PM,$21
44,Minnesota Timberwolves,Utah Jazz,Target Center,Minneapolis,MN,USA,2022-10-21,Fri,7:00 PM,$27
45,Portland Trail Blazers,Phoenix Suns,Moda Center at the Rose Quarter,Portland,OR,USA,2022-10-21,Fri,7:00 PM,$30
46,Golden State Warriors,Denver Nuggets,Chase Center,San Francisco,CA,USA,2022-10-21,Fri,7:00 PM,$95
47,New York Knicks,Detroit Pistons,Madison Square Garden,New York,NY,USA,2022-10-21,Fri,7:30 PM,$100
48,Miami Heat,Boston Celtics,FTX Arena (Former American Airlines Arena),Miami,FL,USA,2022-10-21,Fri,7:30 PM,$61
49,Atlanta Hawks,Orlando Magic,State Farm Arena,Atlanta,GA,USA,2022-10-21,Fri,7:30 PM,$29
50,Brooklyn Nets,Toronto Raptors,Barclays Center,Brooklyn,NY,USA,2022-10-21,Fri,7:30 PM,$38
51,Philadelphia 76ers,San Antonio Spurs,Wells Fargo Center Philadelphia,Philadelphia,PA,USA,2022-10-22,Sat,6:00 PM,$35
52,Indiana Pacers,Detroit Pistons,Gainbridge Fieldhouse,Indianapolis,IN,USA,2022-10-22,Sat,7:00 PM,$16
53,Orlando Magic,Boston Celtics,Amway Center,Orlando,FL,USA,2022-10-22,Sat,7:00 PM,$51
54,Milwaukee Bucks,Houston Rockets,Fiserv Forum,Milwaukee,WI,USA,2022-10-22,Sat,7:00 PM,$29
55,Chicago Bulls,Cleveland Cavaliers,United Center,Chicago,IL,USA,2022-10-22,Sat,7:00 PM,$38
56,Denver Nuggets,Oklahoma City Thunder,Ball Arena,Denver,CO,USA,2022-10-22,Sat,7:00 PM,$17
57,Sacramento Kings,Los Angeles Clippers,Golden 1 Center,Sacramento,CA,USA,2022-10-22,Sat,7:00 PM,$24
58,Dallas Mavericks,Memphis Grizzlies,American Airlines Center,Dallas,TX,USA,2022-10-22,Sat,7:30 PM,$44
59,Miami Heat,Toronto Raptors,FTX Arena (Former American Airlines Arena),Miami,FL,USA,2022-10-22,Sat,8:00 PM,$30
60,Los Angeles Lakers,Portland Trail Blazers,Crypto.com Arena,Los Angeles,CA,USA,2022-10-23,Sun,12:30 PM,$40
61,Atlanta Hawks,Charlotte Hornets,State Farm Arena,Atlanta,GA,USA,2022-10-23,Sun,5:00 PM,$30
62,Golden State Warriors,Sacramento Kings,Chase Center,San Francisco,CA,USA,2022-10-23,Sun,5:30 PM,$94
63,New Orleans Pelicans,Utah Jazz,Smoothie King Center,New Orleans,LA,USA,2022-10-23,Sun,6:00 PM,$15
64,Cleveland Cavaliers,Washington Wizards,Rocket Mortgage FieldHouse,Cleveland,OH,USA,2022-10-23,Sun,7:00 PM,$30
65,Oklahoma City Thunder,Minnesota Timberwolves,Paycom Center (Former Chesapeake Energy Arena),Oklahoma City,OK,USA,2022-10-23,Sun,7:00 PM,$6
66,Los Angeles Clippers,Phoenix Suns,Crypto.com Arena,Los Angeles,CA,USA,2022-10-23,Sun,7:00 PM,$26
67,Philadelphia 76ers,Indiana Pacers,Wells Fargo Center Philadelphia,Philadelphia,PA,USA,2022-10-24,Mon,7:00 PM,$15
68,Memphis Grizzlies,Brooklyn Nets,FedExForum,Memphis,TN,USA,2022-10-24,Mon,7:00 PM,$13
69,Houston Rockets,Utah Jazz,Toyota Center,Houston,TX,USA,2022-10-24,Mon,7:00 PM,$7
70,Chicago Bulls,Boston Celtics,United Center,Chicago,IL,USA,2022-10-24,Mon,7:00 PM,$27
71,Minnesota Timberwolves,San Antonio Spurs,Target Center,Minneapolis,MN,USA,2022-10-24,Mon,7:00 PM,$22
72,Portland Trail Blazers,Denver Nuggets,Moda Center at the Rose Quarter,Portland,OR,USA,2022-10-24,Mon,7:00 PM,$8
73,Miami Heat,Toronto Raptors,FTX Arena (Former American Airlines Arena),Miami,FL,USA,2022-10-24,Mon,7:30 PM,$24
74,New York Knicks,Orlando Magic,Madison Square Garden,New York,NY,USA,2022-10-24,Mon,7:30 PM,$85
75,New Orleans Pelicans,Dallas Mavericks,Smoothie King Center,New Orleans,LA,USA,2022-10-25,Tue,6:30 PM,$15
76,Washington Wizards,Detroit Pistons,Capital One Arena,Washington,DC,USA,2022-10-25,Tue,7:00 PM,$11
77,Oklahoma City Thunder,Los Angeles Clippers,Paycom Center (Former Chesapeake Energy Arena),Oklahoma City,OK,USA,2022-10-25,Tue,7:00 PM,$7
78,Phoenix Suns,Golden State Warriors,Footprint Center (Former Phoenix Suns Arena),Phoenix,AZ,USA,2022-10-25,Tue,7:00 PM,$45
79,Milwaukee Bucks,Brooklyn Nets,Fiserv Forum,Milwaukee,WI,USA,2022-10-26,Wed,6:30 PM,$31
80,Detroit Pistons,Atlanta Hawks,Little Caesars Arena,Detroit,MI,USA,2022-10-26,Wed,7:00 PM,$16
81,Cleveland Cavaliers,Orlando Magic,Rocket Mortgage FieldHouse,Cleveland,OH,USA,2022-10-26,Wed,7:00 PM,$20
82,Chicago Bulls,Indiana Pacers,United Center,Chicago,IL,USA,2022-10-26,Wed,7:00 PM,$38
83,Minnesota Timberwolves,San Antonio Spurs,Target Center,Minneapolis,MN,USA,2022-10-26,Wed,7:00 PM,$20
84,Utah Jazz,Houston Rockets,Vivint Smart Home Arena,Salt Lake City,UT,USA,2022-10-26,Wed,7:00 PM,$3
85,New York Knicks,Charlotte Hornets,Madison Square Garden,New York,NY,USA,2022-10-26,Wed,7:30 PM,$85
86,Toronto Raptors,Philadelphia 76ers,Scotiabank Arena,Toronto,,Canada,2022-10-26,Wed,7:30 PM,$50
87,Denver Nuggets,Los Angeles Lakers,Ball Arena,Denver,CO,USA,2022-10-26,Wed,8:00 PM,$50
88,Oklahoma City Thunder,Los Angeles Clippers,Paycom Center (Former Chesapeake Energy Arena),Oklahoma City,OK,USA,2022-10-27,Thu,7:00 PM,$8
89,Sacramento Kings,Memphis Grizzlies,Golden 1 Center,Sacramento,CA,USA,2022-10-27,Thu,7:00 PM,$24
90,Brooklyn Nets,Dallas Mavericks,Barclays Center,Brooklyn,NY,USA,2022-10-27,Thu,7:30 PM,$60
91,Orlando Magic,Charlotte Hornets,Amway Center,Orlando,FL,USA,2022-10-28,Fri,7:00 PM,$22
92,Detroit Pistons,Atlanta Hawks,Little Caesars Arena,Detroit,MI,USA,2022-10-28,Fri,7:00 PM,$20
93,Minnesota Timberwolves,Los Angeles Lakers,Target Center,Minneapolis,MN,USA,2022-10-28,Fri,7:00 PM,$97
94,Milwaukee Bucks,New York Knicks,Fiserv Forum,Milwaukee,WI,USA,2022-10-28,Fri,7:00 PM,$38
95,Denver Nuggets,Utah Jazz,Ball Arena,Denver,CO,USA,2022-10-28,Fri,7:00 PM,$12
96,Phoenix Suns,New Orleans Pelicans,Footprint Center (Former Phoenix Suns Arena),Phoenix,AZ,USA,2022-10-28,Fri,7:00 PM,$27
97,Portland Trail Blazers,Houston Rockets,Moda Center at the Rose Quarter,Portland,OR,USA,2022-10-28,Fri,7:00 PM,$8
98,Boston Celtics,Cleveland Cavaliers,TD Garden,Boston,MA,USA,2022-10-28,Fri,7:30 PM,$57
99,Washington Wizards,Indiana Pacers,Capital One Arena,Washington,DC,USA,2022-10-28,Fri,7:30 PM,$11
100,Toronto Raptors,Philadelphia 76ers,Scotiabank Arena,Toronto,,Canada,2022-10-28,Fri,7:30 PM,$65
101,San Antonio Spurs,Chicago Bulls,AT&T Center,San Antonio,TX,USA,2022-10-28,Fri,7:30 PM,$24
102,Charlotte Hornets,Golden State Warriors,Spectrum Center,Charlotte,NC,USA,2022-10-29,Sat,7:00 PM,$98
103,Chicago Bulls,Philadelphia 76ers,United Center,Chicago,IL,USA,2022-10-29,Sat,7:00 PM,$38
