,Home_Team,Away_Team,Arena,City,State,Country,Date,Day,Time,Price
0,Chicago Bears,Washington Commanders,Soldier Field,Chicago,IL,USA,2022-10-13,Thu,7:15 PM,$90
1,New Orleans Saints,Cincinnati Bengals,Caesars Superdome,New Orleans,LA,USA,2022-10-16,Sun,12:00 PM,$109
2,Green Bay Packers,New York Jets,Lambeau Field,Green Bay,WI,USA,2022-10-16,Sun,12:00 PM,$169
3,New York Giants,Baltimore Ravens,MetLife Stadium,East Rutherford,NJ,USA,2022-10-16,Sun,1:00 PM,$132
4,Miami Dolphins,Minnesota Vikings,Hard Rock Stadium,Miami,FL,USA,2022-10-16,Sun,1:00 PM,$94
5,Atlanta Falcons,San Francisco 49ers,Mercedes-Benz Stadium,Atlanta,GA,USA,2022-10-16,Sun,1:00 PM,$89
6,Indianapolis Colts,Jacksonville Jaguars,Lucas Oil Stadium,Indianapolis,IN,USA,2022-10-16,Sun,1:00 PM,$51
7,Seattle Seahawks,Arizona Cardinals,Lumen Field,Seattle,WA,USA,2022-10-16,Sun,1:05 PM,$80
8,Los Angeles Rams,Carolina Panthers,SoFi Stadium,Inglewood,CA,USA,2022-10-16,Sun,1:05 PM,$35
9,Kansas City Chiefs,Buffalo Bills,GEHA Field at Arrowhead Stadium,Kansas City,MO,USA,2022-10-16,Sun,3:25 PM,$300
10,Philadelphia Eagles,Dallas Cowboys,Lincoln Financial Field,Philadelphia,PA,USA,2022-10-16,Sun,8:20 PM,$263
11,Los Angeles Chargers,Denver Broncos,SoFi Stadium,Inglewood,CA,USA,2022-10-17,Mon,5:15 PM,$47
12,Arizona Cardinals,New Orleans Saints,State Farm Stadium,Glendale,AZ,USA,2022-10-20,Thu,5:15 PM,$44
13,Tennessee Titans,Indianapolis Colts,Nissan Stadium - Nashville - Formerly LP Field,Nashville,TN,USA,2022-10-23,Sun,12:00 PM,$112
14,Dallas Cowboys,Detroit Lions,AT&T Stadium,Arlington,TX,USA,2022-10-23,Sun,12:00 PM,$28
15,Washington Commanders,Green Bay Packers,FedEx Field,Landover,MD,USA,2022-10-23,Sun,1:00 PM,$62
16,Cincinnati Bengals,Atlanta Falcons,Paycor Stadium (formerly Paul Brown Stadium),Cincinnati,OH,USA,2022-10-23,Sun,1:00 PM,$165
17,Jacksonville Jaguars,New York Giants,TIAA Bank Field,Jacksonville,FL,USA,2022-10-23,Sun,1:00 PM,$76
18,Cincinnati Bengals,Atlanta Falcons,Paycor Stadium (formerly Paul Brown Stadium),Cincinnati,OH,USA,2022-10-23,Sun,1:00 PM,$165
19,Jacksonville Jaguars,New York Giants,TIAA Bank Field,Jacksonville,FL,USA,2022-10-23,Sun,1:00 PM,$76
20,Baltimore Ravens,Cleveland Browns,M&T Bank Stadium,Baltimore,MD,USA,2022-10-23,Sun,1:00 PM,$89
21,Carolina Panthers,Tampa Bay Buccaneers,Bank of America Stadium,Charlotte,NC,USA,2022-10-23,Sun,1:00 PM,$92
22,Las Vegas Raiders,Houston Texans,Allegiant Stadium,Las Vegas,NV,USA,2022-10-23,Sun,1:05 PM,$200
23,Los Angeles Chargers,Seattle Seahawks,SoFi Stadium,Inglewood,CA,USA,2022-10-23,Sun,1:25 PM,$40
24,San Francisco 49ers,Kansas City Chiefs,Levi's Stadium,Santa Clara,CA,USA,2022-10-23,Sun,1:25 PM,$120
25,Denver Broncos,New York Jets,Empower Field at Mile High,Denver,CO,USA,2022-10-23,Sun,2:05 PM,$133
26,Miami Dolphins,Pittsburgh Steelers,Hard Rock Stadium,Miami,FL,USA,2022-10-23,Sun,8:20 PM,$250
27,New England Patriots,Chicago Bears,Gillette Stadium,Foxborough,MA,USA,2022-10-24,Mon,8:15 PM,$89
28,Tampa Bay Buccaneers,Baltimore Ravens,Raymond James Stadium,Tampa,FL,USA,2022-10-27,Thu,8:15 PM,$185
29,Dallas Cowboys,Chicago Bears,AT&T Stadium,Arlington,TX,USA,2022-10-30,Sun,12:00 PM,$51
30,New Orleans Saints,Las Vegas Raiders,Caesars Superdome,New Orleans,LA,USA,2022-10-30,Sun,12:00 PM,$77
31,Minnesota Vikings,Arizona Cardinals,U.S. Bank Stadium,Minneapolis,MN,USA,2022-10-30,Sun,12:00 PM,$68
32,Atlanta Falcons,Carolina Panthers,Mercedes-Benz Stadium,Atlanta,GA,USA,2022-10-30,Sun,1:00 PM,$44
33,New York Jets Tickets (D'Brickashaw Ferguson Ring of Honor Ceremony),New England Patriots,MetLife Stadium,East Rutherford,NJ,USA,2022-10-30,Sun,1:00 PM,$78
34,Detroit Lions,Miami Dolphins,Ford Field,Detroit,MI,USA,2022-10-30,Sun,1:00 PM,$78
35,Philadelphia Eagles,Pittsburgh Steelers,Lincoln Financial Field,Philadelphia,PA,USA,2022-10-30,Sun,1:00 PM,$289
36,Los Angeles Rams,San Francisco 49ers,SoFi Stadium,Inglewood,CA,USA,2022-10-30,Sun,1:25 PM,$175
37,Seattle Seahawks,New York Giants,Lumen Field,Seattle,WA,USA,2022-10-30,Sun,1:25 PM,$100
38,Houston Texans,Tennessee Titans,NRG Stadium,Houston,TX,USA,2022-10-30,Sun,3:05 PM,$29
